text,label
"Urgent: password reset needed at https://click4prize.io/update?id=260",1
"Learn more about our solutions: https://www.youtube.com/info?ref=924",0
"Please confirm your payment via https://urgent-update.net/update?id=867",1
"Please confirm your payment via https://free-offer.net/update?id=207",1
"Your order has shipped. Track it here: https://www.google.com/info?ref=587",0
"Please confirm your payment via https",1
"Please confirm your payment via https://payment-update.com/update?id=446",1
"Verify your account at https://click4prize.io/update?id=142",1
"FREE gift for you: click https://bank-verify.org/update?id=755 now!",1
"Monthly newsletter update at https://www.shoponline.com/info?ref=913",0
"Urgent: password reset needed at https://payment-update.com/update?id=805",1
"Monthly newsletter update at https://www.shoponline.com/info?ref=347",0
"Download your invoice at https://www.youtube.com/info?ref=113",0
"Learn more about our solutions: https://www.medium.com/info?ref=926",0
"Learn more about our solutions: https://www.medium.com/info?ref=253",0
"Login to secure your account: https://payment-update.com/update?id=995",1
"Verify your account at https://secure-check.org/update?id=307",1
"Learn more about our solutions: https://www.wikipedia.org/info?ref=637",0
"Monthly newsletter update at https://www.shoponline.com/info?ref=122",0
"Welcome to our corporate portal: https://www.youtube.com/info?ref=209",0
"Share your feedback at https://gov.kz/info?ref=170",0
"Verify your account at https://secure-check.org/update?id=235",1
"Your bank details need verification: https://verify-account.me/update?id=941",1
"Important: payment update required at https://verify-account.me/update?id=455",1
"Monthly newsletter update at https://www.medium.com/info?ref=474",0
"Learn more about our solutions: https://gov.kz/info?ref=677",0
"Verify your account at https://secure-check.org/update?id=825",1
"New article posted: https://gov.kz/info?ref=988",0
"Download your invoice at https://www.delivery-service.com/info?ref=104",0
"Download your invoice at https://travel.com/info?ref=910",0
"Please confirm your payment via https://secure-check.org/update?id=598",1
"Important: payment update required at https://urgent-update.net/update?id=323",1
"New article posted",0
"You have won a prize! Visit https://free-offer.net/update?id=647 now!",1
"Check our official website: https://www.wikipedia.org/info?ref=900",0
"Download your invoice at https://www.google.com/info?ref=433",0
"Download your invoice at https://www.google.com/info?ref=564",0
"Important: payment update required at https://urgent-update.net/update?id=690",1
"Alert: confirm your billing info at https://click4prize.io/update?id=989",1
"Welcome to our corporate portal: https://www.shoponline.com/info?ref=121",0
"Your order has shipped. Track it here: https://travel.com/info?ref=804",0
"Login to secure your account: https://payment-update.com/update?id=685",1
"Share your feedback at https",0
"New article posted: https://www.delivery-service.com/info?ref=478",0
"Check our official website: https://www.google.com/info?ref=131",0
"Verify your account at https://login-securebank.com/update?id=433",1
"Urgent: password reset needed at https://urgent-update.net/update?id=833",1
"Monthly newsletter update at https://www.delivery-service.com/info?ref=685",0
"Alert: confirm your billing info at https://login-securebank.com/update?id=651",1
"Monthly newsletter update at https://www.shoponline.com/info?ref=398",0
"Important: payment update required at https://bank-verify.org/update?id=504",1
"Hello, just checking in to say hi.",0
"Alert: confirm your billing info at https://urgent-update.net/update?id=869",1
"Check our official website: https://www.wikipedia.org/info?ref=216",0
"Monthly newsletter update at https://www.delivery-service.com/info?ref=919",0
"Alert: confirm your billing info at https://verify-account.me/update?id=177",1
"Your order has shipped. Track it here: https://www.youtube.com/info?ref=767",0
"Thank you for using our services",0
"FREE gift for you: click https://payment-update.com/update?id=459 now!",1
"You have won a prize! Visit https://free-offer.net/update?id=304 now!",1
"Welcome to our corporate portal: https://www.wikipedia.org/info?ref=697",0
"Urgent: password reset needed at https://payment-update.com/update?id=793",1
"Login to secure your account: https://urgent-update.net/update?id=189",1
"Share your feedback at https://www.delivery-service.com/info?ref=694",0
"Thank you for using our services",0
"Monthly newsletter update at https://www.medium.com/info?ref=331",0
"Verify your account at https://login-securebank.com/update?id=732",1
"Verify your account at https://urgent-update.net/update?id=531",1
"Welcome to our corporate portal: https://gov.kz/info?ref=120",0
"Your order has shipped. Track it here: https://www.medium.com/info?ref=843",0
"Your bank details need verification: https://payment-update.com/update?id=382",1
"Your order has shipped. Track it here: https://gov.kz/info?ref=900",0
"FREE gift for you: click https://urgent-update.net/update?id=676 now!",1
"FREE gift for you: click https://bank-verify.org/update?id=142 now!",1
"Hello, just checking in to say hi.",0
"Thank you for using our services",0
"Share your feedback at https://gov.kz/info?ref=172",0
"Important: payment update required at https://bank-verify.org/update?id=642",1
"Check our official website: https://www.wikipedia.org/info?ref=403",0
"Important",1
"You have won a prize! Visit https://verify-account.me/update?id=493 now!",1
"Monthly newsletter update at https://www.google.com/info?ref=505",0
"Share your feedback at https://www.shoponline.com/info?ref=190",0
"New article posted: https://gov.kz/info?ref=864",0
"Your bank details need verification: https://urgent-update.net/update?id=289",1
"You have won a prize! Visit https://free-offer.net/update?id=587 now!",1
"Hello, just checking in to say hi.",0
"Share your feedback at https://www.google.com/info?ref=643",0
"Learn more about our solutions: https://www.shoponline.com/info?ref=750",0
"Urgent: password reset needed at https://free-offer.net/update?id=326",1
"Update your bank credentials: https://verify-account.me/update?id=694",1
"Urgent: password reset needed at https://login-securebank.com/update?id=540",1
"Alert: confirm your billing info at https://bank-verify.org/update?id=895",1
"Important: payment update required at https://urgent-update.net/update?id=693",1
"FREE gift for you: click https://verify-account.me/update?id=495 now!",1
